Food,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0,0.11,170.94,17.75,0.64,0,24.77
Fried Egg ,223.67,0.31,11.59,19.62,0,0.29,446.96,46.4,1.69,0,24.77
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,1163.07,48.24,1.75,0,24.77
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,523.29,164.05,1.48,0,35.72
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,101,157.22,1.12,0.73,19.12
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,10418.84,40.57,2.26,17.9,34.92
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,8953.64,35.48,1.82,2.1,11.38
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,4461.22,39.61,0.95,53.23,44.01
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,4999.7,51.01,1.48,52.28,88.58
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,4429.81,70.77,2.1,63.34,298.06
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,5655.45,65.26,1.36,39.02,54.46
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,5276.06,70.56,1.81,5.79,30.72
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,8875.06,53.55,1.82,19.43,23.24
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,12418.84,100.14,3.93,8.51,28.19
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,4249.41,41.07,1.52,16.72,20.33
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,11202.89,106.22,3.52,5.35,24.85
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,11088.14,42.33,2.23,12.62,48.58
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,121.32,99.79,0.32,5.05,27.42
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,9919.62,43.93,2.13,16.3,43.26
Chapati/Roti,202.31,35.65,5.88,3.56,1,6.31,1.16,17.22,2.28,0,5.84
Plain parantha/paratha,298.3,30.69,5.06,16.86,0.86,5.43,62.07,14.81,1.98,0,7.79
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,127.03,23.75,1.39,8.44,20.74
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,190.03,22,1.59,17.61,26.32
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,156.13,23.89,2.45,1.8,29.02
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,153.94,20.33,1.94,2,12.52
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,1.29,5.61,109.99,23.49,1.78,17.8,33.64
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,140.62,19.35,1.8,1.8,11.49
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4,142.52,127.65,1.7,1.69,29
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53
Poori,737.63,8.22,1.35,77.61,0.23,1.46,31.73,3.98,0.6,0,4.68
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,35.47,10.02,0.79,3.03,18.9
Methi poori,710.02,7.98,1.45,74.6,0.26,1.61,35.37,14.61,0.81,2.91,8.47
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,128.18,6.88,0.83,0.42,7.65
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,0.26,1.64,69.86,5.57,0.7,1.39,5.63
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,1.14,14.98,1.96,0,7.79
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,1.05,2.7,0.24,0,9.75
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,193.76,12.76,0.41,3.42,22.63
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63
Mushroom pulao,124.29,19.02,2.52,4.03,1,1.88,222.36,13.54,0.39,3.42,26.77
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,72.28,33.09,0.26,3.42,69.28
Peanut pulao ,193.28,21.18,5.32,9.51,1.6,2.9,168.4,18.52,0.83,3.42,68.06
Navratan pulao,261.71,36.98,6.2,9.45,2.52,3.82,334.26,59.61,1.1,12.89,46.97
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,2.48,3.15,170.05,18.94,0.95,5.43,301.13
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.39,2.42,262.64,68.58,1.29,10.28,30.07
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,183.79,33.52,0.86,39.35,77.54
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,0.78,2.52,187.11,12.7,0.77,10.2,38.01
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,24.8,1.13,3.2,11.38,0.34,0.21,10.65
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,213.29,101.52,0.59,5.1,28.24
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,11.65,5.12,162.41,50.94,2.89,0.84,23.02
Spanish rice,164.24,31.1,4.19,2.23,1.26,2.78,96.61,18.93,0.92,48.66,54.48
Chinese fried rice,120.58,13.4,4.05,5.43,1.47,2.31,248.36,34.7,0.99,67.39,136.83
Macroni cheese pie,170.63,21.1,5.85,7.48,3.4,0.4,200.51,122.01,0.54,14.65,28.19
Vegetable chowmein,129.71,15.44,3.07,6.36,1.97,1.86,258.47,28.33,0.99,85.39,99.36
Chicken chowmein,151.33,13.3,6.33,8.23,1.63,1.64,288.15,26.1,0.89,84.96,102.27
Cheese noodle ring,133.67,13.96,6.22,6.12,2.84,1.27,241.96,99.3,0.79,24.19,94.77
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,1.83,0.59,104.14,40.59,0.32,57.67,115.96
Penne platter,177.4,20.87,5.04,8.71,4.5,1.09,283.37,67.67,0.9,16.35,60.2
Pasta hot pot,125.17,11.6,5.84,6.47,5.99,0.8,231.17,55.28,0.82,58.74,111.3
Chicken lasagne,187.49,13.9,10.45,10.36,2.74,0.11,238.55,119.98,0.64,4.23,61.02
Fettuccine with spinach sauce,129.21,12.19,3.1,7.83,1.18,0.77,153.59,53.67,1.28,38.37,170.92
Naan,286.45,51.75,8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,7.56
Bhatura,793.2,10.73,1.63,82.56,0.69,0.38,28.3,12.12,0.33,0.05,4.15
Idli,137.54,28.18,4.64,0.33,0.28,2.31,100.83,8,0.68,0,2.95
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,191.28,15.58,0.79,14.14,35.76
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.37,4.04,202.36,116.04,1.39,2.28,15.86
Onion tomato uttapam,462.02,11.32,1.91,45.3,0.8,1.26,143.53,5.82,0.36,4.78,11.68
Paneer kaathi roll,285.94,20.1,6.92,19.55,3.29,2.4,221.03,101.66,1.42,18.67,54.04
Makki ki roti,263.97,24.19,3.49,16.85,0.7,5.19,236.22,14.76,1.11,1.99,10.72
Washed moong dal (Dhuli moong ki dal),50,5.91,2.68,1.68,0.12,1.17,150.64,8.48,0.64,0.04,27.98
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,142.21,10.24,0.72,0.99,30.4
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,1.05,2.72,149.47,14.33,0.99,15.2,90.42
Dry washed urad,124.71,15.66,6.85,3.5,0.73,4.06,295.79,27.08,1.89,1.46,40.3
Mixed dal,61.93,5.79,2.51,3.1,0.34,1.62,141.36,11,0.78,1.1,40.35
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,0.59,2.02,123.86,13.58,0.68,11.04,55.37
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,123.72,12.2,0.95,11.04,48.17
Whole moth (Moth ki dal),55,5.74,2.01,2.62,0.66,1.85,125.08,18.98,0.95,11.04,116.57
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,0.57,2.32,126.12,13.07,0.78,10.28,51.6
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,1.7,3.38,157.61,38.13,1.05,15.45,93.14
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,2.36,7.99,358.63,53.87,2.43,15.13,87.38
Chickpeas curry (Safed channa curry),163.43,19.98,6.1,6.84,4.78,4.73,357.99,30.61,1.82,16.33,184.58
Lobia curry,148.99,17.88,6.06,5.62,2.51,4.57,355.41,36.8,2.21,15.13,86.78
Soyabean curry,163.28,6.76,10.43,10.19,2.66,7.34,352.69,65.13,2.79,15.13,103.88
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,2.49,5.83,354.6,47.87,2.27,16.33,112.28
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,159.54,30.24,1.24,20.35,68.19
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.88,0.81,60.8,24.53,0.38,4.17,77.03
Khatta channa,202.57,21.14,6.3,10.56,4.75,5.26,513.32,40.77,1.94,20.89,244.23
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12
Potato cauliflower (Aloo gobhi),106.18,5.99,1.9,8.13,0.44,3.02,254.76,22.87,1.07,61.11,55.94
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,0.54,2.02,277.92,16.45,0.86,81.26,39.8
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,0.97,3.99,253.73,45.5,1.1,54.84,75.95
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.1,3.81,2.11,4.43,262.91,128.83,2.72,51.83,81.67
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,0.54,2.93,221.93,107.8,2.53,68.76,73.14
Brinjal bhartha (Baingan ka bhartha),65.12,4.4,1.38,4.48,1.82,3.27,132.15,17.85,0.48,24.05,92.42
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,2.06,5.59,271.65,51.92,1.34,6.03,75.87
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,1.71,5.27,286.06,35.37,1.33,51.79,59.84
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,219.6,48.63,0.84,41.01,72.27
Raw turnip with coconut ,132.15,5.78,1.8,11.47,4.4,2.79,275.55,50.65,0.82,21.65,27.89
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,270.56,33.74,0.82,25.38,43.68
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,180.15,20.21,0.59,37.36,71.07
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,1.21,2.01,173.94,15.17,0.61,74.25,38.35
Stuffed brinjal (Bharwa baingan),93,3.96,1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,154.83,21.1,1.02,70.01,88.11
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3,157.34,105.2,1.08,58.44,127.01
Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49
Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,1.98,4.44,154.75,24.48,1.2,77.64,107.74
Pea vadi curry,101.95,8.9,4.64,5.08,1.92,4.28,149.51,23.62,1.2,77.64,109.24
Paneer curry,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,217.05,26.59,1.71,40.01,45.45
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.7,83.07,13.84,0.56,74.66,129.13
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,104.51,29.31,0.83,64.05,250.89
Paneer kofta curry,670.91,3.27,2.39,72.06,1.98,0.4,121.72,59.49,0.34,17.06,97.75
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,0.88,1.01,108.61,19.31,0.65,38.6,57.76
Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,2.3,0.59,88.4,9.23,0.28,23.63,46.68
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,0.83,1,93.65,12.26,0.4,53.98,89.51
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.89,0.9,92.85,15.46,0.34,43.56,90.4
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.82,0.83,91.43,11.64,0.33,21.87,87.12
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,1.19,0.64,95.89,28.39,0.39,35.58,67.83
Baked vegetables,88.99,8.44,3.67,4.44,2.56,2.34,124.7,80.2,0.62,47.05,77.19
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,1.71,3.06,123.36,24.61,0.83,71.44,76.8
Baked vegetables with spinach ,77.79,6.93,3.22,4.03,2.09,2.33,122.85,78.63,1.16,78.95,223.29
Baked potato with skin ,135.77,11.11,3.43,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.78,2.23,118.2,85.59,0.76,51.68,90.43
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.2,2.34,79.66,26.24,0.32,68.38,103.99
Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05
Methi chaman,475.62,2.78,1.54,50.91,1.79,0.53,54.94,60.57,0.63,63.26,141.85
Sarson ka saag,87.84,5.33,3,5.86,0.75,3.69,165.45,134.41,2.43,59.58,128.42
Jackfruit sabzi (Kathal ki sabzi),625.4,3.4,0.69,67.6,2.59,1.02,58.95,9.85,0.27,14.11,32.14
Avial,124.56,8.47,2.46,8.94,3.83,5.44,81.5,31.9,1.01,94.64,108.12
Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75
Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58
Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79
Methi malai paneer,194.98,8.15,7.34,14.76,6,1.47,221.16,183.96,0.77,13.6,73.86
Chilli paneer,777.51,3.31,2.1,84.01,1.5,0.5,89.04,42.9,0.36,4.87,28.7
Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,77.01,72.89,0.55,0.64,94.26
Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,144.33,91.53,0.65,85.83,117.12
Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34
Pea keema curry (Matar keema ki sabzi),133,6.24,8.43,8.14,1.82,2.96,148.38,35.6,1.35,55.62,85.14
Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46
Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51
Chicken yakhni,99,0.78,10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24
Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3
Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,51.03,36.18,0.64,3.75,16.68
Shammi kebab,685.69,3.54,4.52,72.61,0.31,1.05,54.27,13.11,0.75,1.64,20.55
Scotch egg,676.89,1.91,4.05,72.62,0.3,0.36,90.67,15.03,0.6,2.59,30.63
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,108,27.29,0.87,16.79,38.7
Tandoori chicken,145.2,2.34,16.26,7.93,1.58,0.5,158,44.33,0.9,39.53,182.73
Butter chicken,137,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85
Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83
Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,223.75,12.97,0.66,55.19,51.55
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45
Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.4,0.61,156.94,11.11,0.56,7.22,35.19
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,72.73,6.56,0.26,22.16,31.65
Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36
Fish tikka,117.33,3.91,16,4.15,1.18,1.18,503.44,31.98,1.41,0.9,4.62
Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13
Russian salad,114.83,6.5,4.26,7.84,1.66,2.57,101.09,34.92,1.23,49.56,104.32
Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54
Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,117.29,36.84,1.51,18.42,48.39
Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,64.92,61.03,1.12,51.75,123.62
